time,Ar41ActOutletFlowrate,Ar41ActTotal
2198.8046875,2.8268352175385e-08,1.6103358335053e-05
2199.8046875,2.8271031419939e-08,1.6103289934143e-05
2200.8046875,2.8272004233209e-08,1.6103220772957e-05
2201.3046875,2.8261779578687e-08,1.6103191337816e-05
2202.3046875,2.8266482073985e-08,1.6103127899281e-05
2203.3046875,2.8269629014376e-08,1.6103061521395e-05
2204.3046875,2.8271823681251e-08,1.6102993161364e-05
2205.3046875,2.8272613987416e-08,1.6102924222484e-05
2206.3046875,2.8272540682757e-08,1.6102855563461e-05
2207.3046875,2.8272115565828e-08,1.6102787530287e-05
2208.3046875,2.8271624342623e-08,1.6102720183933e-05
2208.5546875,2.8255922339911e-08,1.6102707291657e-05
2209.0546875,2.8253340724679e-08,1.6102682747359e-05
2210.0546875,2.8261078883178e-08,1.6102626055932e-05
2211.0546875,2.8268143557789e-08,1.6102562510377e-05
2212.0546875,2.8272460293817e-08,1.6102494869097e-05
2213.0546875,2.8273824467401e-08,1.6102426082268e-05
2214.0546875,2.827351980078e-08,1.6102357808871e-05
2215.0546875,2.827257764526e-08,1.6102290675733e-05
2216.0546875,2.8271540976219e-08,1.6102224767975e-05
2217.0546875,2.827061613884e-08,1.6102159966333e-05
2218.0546875,2.8269838743203e-08,1.6102096117453e-05
2219.0546875,2.8269180013964e-08,1.6102033097742e-05
2220.0546875,2.8268599877174e-08,1.6101970824248e-05
2221.0546875,2.8268066931774e-08,1.6101909245735e-05
2222.0546875,2.8267561923616e-08,1.6101848330405e-05
2223.0546875,2.8267074984599e-08,1.6101788056455e-05
2223.5546875,2.8256473358859e-08,1.6101763238945e-05
2224.5546875,2.8260984240802e-08,1.6101709171856e-05
2225.5546875,2.8264075823524e-08,1.6101652166921e-05
2226.5546875,2.826617987752e-08,1.6101593217038e-05
2227.5546875,2.8266805302751e-08,1.6101533799285e-05
2228.5546875,2.8266507492141e-08,1.610147483101e-05
2229.5546875,2.8265826061934e-08,1.6101416688768e-05
2230.5546875,2.82650718153e-08,1.6101359438954e-05
2231.5546875,2.8264376966612e-08,1.6101303016816e-05
2232.5546875,2.8263776734787e-08,1.6101247323326e-05
2233.5546875,2.8263266147161e-08,1.6101192265145e-05
2234.5546875,2.8262829895122e-08,1.610113776477e-05
2235.5546875,2.8262454448471e-08,1.610108375863e-05
2236.5546875,2.8262130977347e-08,1.6101030192321e-05
2237.5546875,2.8261854573826e-08,1.6100977016653e-05
2238.5546875,2.8261622618056e-08,1.6100924185343e-05
2239.5546875,2.8261433444974e-08,1.6100871654051e-05
2240.0546875,2.8250988834644e-08,1.6100850618752e-05
2241.0546875,2.8255839424517e-08,1.6100803736338e-05
2241.5546875,2.8247413846255e-08,1.6100784516437e-05
2242.5546875,2.8255731581816e-08,1.6100737811937e-05
2243.5546875,2.8260867090197e-08,1.6100686107311e-05
2244.5546875,2.8263778592676e-08,1.6100631632791e-05
2244.8046875,2.8248755430902e-08,1.6100621785535e-05
2245.3046875,2.8246908524268e-08,1.6100602951211e-05
2246.3046875,2.825483479121e-08,1.6100557436909e-05
2247.3046875,2.8261646826687e-08,1.6100505262191e-05
2248.3046875,2.8265695848143e-08,1.6100449197854e-05
2249.3046875,2.8266935177676e-08,1.6100392050318e-05
2250.3046875,2.8266675454878e-08,1.6100335309356e-05
2251.3046875,2.8265925960804e-08,1.6100279455714e-05
2252.3046875,2.8265198328876e-08,1.6100224460519e-05
2253.3046875,2.8264672753283e-08,1.6100170117208e-05
2254.3046875,2.8264366133779e-08,1.6100116204258e-05
2254.5546875,2.8248726533208e-08,1.6100106650291e-05
2255.0546875,2.8246311430362e-08,1.6100088681969e-05
2256.0546875,2.8254417008984e-08,1.6100044708455e-05
2257.0546875,2.82618697191e-08,1.609999342908e-05
2258.0546875,2.8266596843613e-08,1.6099937582887e-05
2259.0546875,2.8268396225871e-08,1.6099880098353e-05
2259.5546875,2.8258341350814e-08,1.6099856403626e-05
2260.5546875,2.8262975221858e-08,1.6099804460445e-05
2261.5546875,2.8265950617187e-08,1.6099749693573e-05
2262.5546875,2.8268010192035e-08,1.6099693022831e-05
2263.5546875,2.8268739122326e-08,1.6099635777643e-05
2264.5546875,2.8268670962888e-08,1.6099578750583e-05
2265.5546875,2.8268297450307e-08,1.6099522241886e-05
2266.5546875,2.8267885651046e-08,1.609946628557e-05
2267.0546875,2.8257329661319e-08,1.6099443600597e-05
2268.0546875,2.826200103281e-08,1.6099393625076e-05
2269.0546875,2.8265310316362e-08,1.6099340482357e-05
2270.0546875,2.8267665921213e-08,1.6099285133104e-05
2270.5546875,2.8258057915838e-08,1.6099262280705e-05
2271.5546875,2.826329550598e-08,1.6099211415747e-05
2272.5546875,2.8266490839711e-08,1.6099157505652e-05
2273.5546875,2.8268484916129e-08,1.6099101754823e-05
2274.5546875,2.8268974441438e-08,1.6099045664808e-05
2275.5546875,2.8268570379019e-08,1.6098990122204e-05
2276.5546875,2.8267808694247e-08,1.6098935477089e-05
2277.5546875,2.8266977026954e-08,1.6098881792527e-05
2278.5546875,2.8266183698095e-08,1.60988290242e-05
2279.5546875,2.826544527549e-08,1.6098777111909e-05
2280.5546875,2.8264743688633e-08,1.6098726013906e-05
2281.5546875,2.8264054588589e-08,1.6098675712926e-05
2282.5546875,2.8263357911983e-08,1.6098626211745e-05
2283.5546875,2.8262639762861e-08,1.6098577526917e-05
2284.5546875,2.8261891119193e-08,1.6098529683853e-05
2285.5546875,2.8261106037285e-08,1.6098482713699e-05
2286.5546875,2.8260280327384e-08,1.6098436651568e-05
2287.5546875,2.8259410841349e-08,1.6098391535476e-05
2288.5546875,2.825849520344e-08,1.609834740556e-05
2289.5546875,2.8257531767479e-08,1.6098304303337e-05
2290.5546875,2.8256519636751e-08,1.6098262270953e-05
2291.5546875,2.8255458662347e-08,1.6098221350435e-05
2292.0546875,2.8244561642618e-08,1.6098206331069e-05
2293.0546875,2.8248409517331e-08,1.6098172414543e-05
2293.5546875,2.8239464413679e-08,1.6098159919402e-05
2294.5546875,2.8246647847688e-08,1.6098127720099e-05
2295.5546875,2.8250563930882e-08,1.6098091654157e-05
2296.5546875,2.825218094354e-08,1.6098054019159e-05
2297.5546875,2.825169229604e-08,1.6098016910119e-05
2298.5546875,2.8250072560167e-08,1.6097981442882e-05
