material,group in,group out,legendre,nuclide,mean,std. dev.
5,7,5,P0,total,0.0,0.0
5,7,5,P1,total,0.0,0.0
5,7,6,P0,total,0.0,0.0
5,7,6,P1,total,0.0,0.0
5,7,7,P0,total,0.00016744471400557246,2.511721418715116e-06
5,7,7,P1,total,1.9206919225911693e-05,8.9997535716018e-07
5,7,8,P0,total,1.0280444328291496e-05,4.0804106868966016e-07
5,7,8,P1,total,-3.111644230213873e-06,2.342984328582662e-07
5,7,9,P0,total,0.0,0.0
5,7,9,P1,total,0.0,0.0
5,7,10,P0,total,0.0,0.0
5,7,10,P1,total,0.0,0.0
5,7,11,P0,total,0.0,0.0
5,7,11,P1,total,0.0,0.0
5,7,12,P0,total,0.0,0.0
5,7,12,P1,total,0.0,0.0
5,7,13,P0,total,0.0,0.0
5,7,13,P1,total,0.0,0.0
5,7,14,P0,total,0.0,0.0
5,7,14,P1,total,0.0,0.0
5,7,15,P0,total,0.0,0.0
5,7,15,P1,total,0.0,0.0
5,7,16,P0,total,0.0,0.0
5,7,16,P1,total,0.0,0.0
5,7,17,P0,total,0.0,0.0
5,7,17,P1,total,0.0,0.0
5,7,18,P0,total,0.0,0.0
5,7,18,P1,total,0.0,0.0
5,7,19,P0,total,0.0,0.0
5,7,19,P1,total,0.0,0.0
5,7,20,P0,total,0.0,0.0
5,7,20,P1,total,0.0,0.0
5,7,21,P0,total,0.0,0.0
5,7,21,P1,total,0.0,0.0
5,7,22,P0,total,0.0,0.0
5,7,22,P1,total,0.0,0.0
5,7,23,P0,total,0.0,0.0
5,7,23,P1,total,0.0,0.0
5,7,24,P0,total,0.0,0.0
5,7,24,P1,total,0.0,0.0
5,7,25,P0,total,0.0,0.0
5,7,25,P1,total,0.0,0.0
5,8,1,P0,total,0.0,0.0
5,8,1,P1,total,0.0,0.0
5,8,2,P0,total,0.0,0.0
5,8,2,P1,total,0.0,0.0
5,8,3,P0,total,0.0,0.0
5,8,3,P1,total,0.0,0.0
5,8,4,P0,total,0.0,0.0
5,8,4,P1,total,0.0,0.0
5,8,5,P0,total,0.0,0.0
5,8,5,P1,total,0.0,0.0
5,8,6,P0,total,0.0,0.0
5,8,6,P1,total,0.0,0.0
5,8,7,P0,total,0.0,0.0
5,8,7,P1,total,0.0,0.0
5,8,8,P0,total,0.0002602136871174269,4.703780115983068e-06
5,8,8,P1,total,2.0663125292605133e-05,1.75468011633714e-06
5,8,9,P0,total,1.1740568327693594e-05,5.886092464353035e-07
5,8,9,P1,total,-3.865660016768939e-06,3.2614832195892175e-07
5,8,10,P0,total,0.0,0.0
5,8,10,P1,total,0.0,0.0
5,8,11,P0,total,0.0,0.0
5,8,11,P1,total,0.0,0.0
5,8,12,P0,total,0.0,0.0
5,8,12,P1,total,0.0,0.0
5,8,13,P0,total,0.0,0.0
5,8,13,P1,total,0.0,0.0
5,8,14,P0,total,0.0,0.0
5,8,14,P1,total,0.0,0.0
5,8,15,P0,total,0.0,0.0
5,8,15,P1,total,0.0,0.0
5,8,16,P0,total,0.0,0.0
5,8,16,P1,total,0.0,0.0
5,8,17,P0,total,0.0,0.0
5,8,17,P1,total,0.0,0.0
5,8,18,P0,total,0.0,0.0
5,8,18,P1,total,0.0,0.0
5,8,19,P0,total,0.0,0.0
